ProjectID,Area,MCD,blueMCD,Quantity
1208,153.1526419,1747.751773,1763.699831,220
1209,73.82742736,1792.114108,1795.86246,220
1210,138.2300768,1800.454198,1797.397175,500
1211,253.6836068,1789.327206,1793.925347,1932
1212,947.1901851,1809.716628,1799.251891,2582
1213,300.8074966,1757.084606,1776.687164,673
1214,13.35176878,1853.433775,1811.562419,42
1215,14.13716694,1787.25625,1793.814959,73
1216,23.18495378,1794.660246,1798.130559,101
1217,76.18362185,1788.881289,1791.247822,462
1218,95.59112463,1793.204545,1796.474998,294
1219,142.1570676,1743.926075,1768.670627,386
1227,55.7632696,1856.418394,1810.83271,199
1236,143.7278639,1820.968455,1801.166731,979
1245,14.13716694,1797.473684,1788.143644,251
