ProjectID,Area,MCD,blueMCD,Quantity
1201,20.903184,1818.5,1802.313395,0
1202,92.90304,1784.946774,1792.187457,0
1203,97.548192,1801.336146,1799.562614,0
1204,47.19474432,1819.452703,1801.746092,0
1205,86,1795.700438,1793.054642,236
1206,67,1774.241707,1788.649841,505
1208,1,1747.751773,1763.699831,0
1210,3,1800.454198,1797.397175,202
1211,5,1789.327206,1793.925347,901
1212,7,1809.716628,1799.251891,1132
1216,34,1794.660246,1798.130559,1787
1219,2,1743.926075,1768.670627,22
1232,20,1870.275484,1816.936529,222
1235,15.52,1829.215938,1802.665224,446
1243,315.24,1840.128838,1804.733643,3897
1245,1,1797.473684,1788.143644,2
